,Picture,Type,Weight (grams),Length (inches),Cost Per Gram (Sol),Cost Per Gram (USD),Sale Price Per Gram,Total Price Paid (Sol),Total Price Paid (USD),LIST PRICE,TOTAL SALE LIST PRICE,Profit,INVENTORY
1,"https://drive.google.com/file/d/1Q7cbapay_stg3aUSOOFYCEAUtgAFBj-I/view?usp=drive_link, https://drive.google.com/file/d/14lujjOhLTn-JP_K_69mdqvjax5Vu6xtk/view?usp=drive_link, https://drive.google.com/file/d/1z1nZoCXXWg5mrKu3AoiC_qof9jMCEGh6/view?usp=drive_link, https://drive.google.com/file/d/11FETbQITRSmb0Q417Ry9M_J8kdUKYivW/view?usp=drive_link",Chain,19.88,"24""",S/.18.00,$5.13,$8.00,S/.422.25,$120.38,$159,$164,$39,1
2,"https://drive.google.com/file/d/1FgbwWt09dNokZY2BK9GqvxFlsby-z6o0/view?usp=drive_link, https://drive.google.com/file/d/1QSyD-lrvdtWTGI_ylp1Uam7Ed4b7EkC1/view?usp=drive_link, https://drive.google.com/file/d/1yjZnRkMNTrbKIjyIcRG_1p08Kjzqhdw9/view?usp=drive_link, https://drive.google.com/file/d/1CyUoHbSbAz8X_dyclGvdnWyAw0AsTCVZ/view?usp=drive_link",Chain,30.74,"24""",S/.18.00,$5.13,$8.00,S/.652.92,$186.14,$246,$253,$60,1
3,"https://drive.google.com/file/d/1Cc32F1VY1puvGfmGsFTCOlu06x3JRQNW/view?usp=drive_link, https://drive.google.com/file/d/10Nk783ddQLd39A3p851md0u7WFuGrl_m/view?usp=drive_link, https://drive.google.com/file/d/1cZ_7N0Nkke-W19m-7mcCUHQ9K4XoURZ8/view?usp=drive_link, https://drive.google.com/file/d/1LcWMBJlO5I2MWyslAbWKdCi3ugDGFUyO/view?usp=drive_link",Chain,9.34,"21""",S/.18.00,$5.13,$8.00,S/.198.38,$56.56,$75,$77,$18,1
4,"https://drive.google.com/file/d/1ZuHb5cxfWde9hvr_d64XYFscpYd2D4F-/view?usp=drive_link, https://drive.google.com/file/d/1UHN7wWA4k9ABoHxXHBaAb4ClIJLRDf07/view?usp=drive_link, https://drive.google.com/file/d/1ce8nwg1jndM9NIn8uMFmDyuvpeaf7va4/view?usp=drive_link, https://drive.google.com/file/d/12HF1ozWcDrRklPh48EyfWol-CocNw4D6/view?usp=drive_link",Chain,16.44,"24""",S/.18.00,$5.13,$8.00,S/.349.19,$95.55,$132,$135,$36,1
5,"https://drive.google.com/file/d/1B_FQth2xZkdjVtp-jIRG_URVSx4mhzzD/view?usp=drive_link, https://drive.google.com/file/d/1YhM_Rwz99pk_QGQEdUYFLyKOWd6-y1rg/view?usp=drive_link, https://drive.google.com/file/d/1X0L9b08CwIly6zB449L2V1JYen8wB5st/view?usp=drive_link, https://drive.google.com/file/d/1VeO16cFy8WScwvy1w07Ep3QocCPaTeKx/view?usp=drive_link, https://drive.google.com/file/d/1_ndRlhcXreSdM4mkitEPXD5GdYnTvpqK/view?usp=drive_link",Chain w/ Clover,8.57,"18""",S/.18.00,$5.13,$8.00,S/.182.03,$51.89,$69,$71,$17,1
6,"https://drive.google.com/file/d/1jlIFc75pP_p1dEHoIqaX_M6Q8OumdcZJ/view?usp=drive_link, https://drive.google.com/file/d/1STJWmbrAJ8F6y0IkyBtIKsw4N0PyqAIv/view?usp=drive_link, https://drive.google.com/file/d/1t75IxGADJPi7VNXQgt4UGt9ckxRdOOSt/view?usp=drive_link, https://drive.google.com/file/d/1xidZUt_S33oUGIz8H0wYEBXo7xtyUgzL/view?usp=drive_link",Earring Set (Green Stone),,,,,,S/.118.00,$33.64,$50,$52,$17,1
7,"https://drive.google.com/file/d/1uLgG5G_RPSIXqntoVyrrWu0U1cu1cisR/view?usp=drive_link, https://drive.google.com/file/d/1BZfwgQbJpCda4QkFjY5LXbXA3QQ4xQeL/view?usp=drive_link, https://drive.google.com/file/d/1W-jDJ8WxMedBKZhiP8aDlPYN8X2J5AYG/view?usp=drive_link, https://drive.google.com/file/d/14EyOJhwwUBZed8UArnIsKI2uaf2ZTCiy/view?usp=drive_link",Earring Set (Design),,,,,,,$91.23,$137,$141,$46,1
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,Total,$635.39,$867.30,$892.45,$232,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,Chain Mark-up,56.00%,,$187.79,
,,,,,,,,,Earring Set Mark-up,50.00%,,,
, ,,,,,,,,Payment Procc. Fee,2.90%,,,
